id,query,Cooking Approach,Cooks For,Cuisine,Dietary Requirements,Persona,Preparation Constraints,Scenario,Skill Level
3,"Hey there! I'm looking for a tasty Indian meal I can prepare in an Instant Pot that's high in protein. I'm planning to batch cook for the week, so I need something healthy and flavorful using seasonal ingredients. Any suggestions?",Instant Pot,Meal Prep & Batch Cooking,Indian,High-Protein,Health Enthusiast,Seasonal Ingredients,Taste-Driven,Comfortable Home Cook
6,"I'm looking for an easy, family-friendly Italian recipe that's low in sodium and budget-friendly. I don't have a lot of fancy kitchen tools. Can you suggest something that fits this?",Everyday Cooking,Family-friendly,Italian,Low-Sodium,Budget-Conscious Cook,Limited Gear,Eco & Ethical Considerations,Comfortable Home Cook
8,"""Hey, can you recommend a quick and easy Japanese recipe for one that's dairy-free? I'm pretty comfortable in the kitchen, but something that involves sautéing would be great!""",Sautéing,Individual,Japanese,Dairy-Free,College Student,Quick Meals,Quick Summaries,Comfortable Home Cook
2,"Hi there! I'm looking for a quick and easy gluten-free Mediterranean recipe that I can grill. I'm a busy parent, so something that's nutritious and family-friendly would be perfect. Any suggestions?",Grilling,Family-friendly,Mediterranean,Gluten-Free,Busy Parent,Quick Meals,Health & Wellness Goals,Comfortable Home Cook
1,Hey there! I'm a college student on a budget looking for a quick and easy vegan Mexican recipe that I can whip up with pantry staples. Any suggestions for an absolute beginner like me cooking for one? Thanks!,Quick & Easy,Individual,Mexican,Vegan,College Student,Pantry Staples,Budget-Conscious,Absolute Beginner
4,I'm planning a splurge-worthy date night and would like to try something truly spectacular using my sous-vide setup. Could you recommend a keto-friendly French recipe that shows off my culinary skills?,Sous-vide,Couple/Date Night,French,Keto,Amateur Foodie,Fully Equipped Kitchen,Splurge-Worthy,Culinary Expert
7,"Hey, I'm looking to try out some new Middle Eastern recipes I can make using a slow cooker. I’m an absolute beginner, so I’ll need some detailed guidance. Also, I'll be meal-prepping, so it needs to be something I can make in batches. Can you suggest a halal option with ingredients that are easy to find locally?",Slow Cooker,Meal Prep & Batch Cooking,Middle Eastern,Halal,Adventure Seeker,Locally Available,Detailed Guidance,Absolute Beginner
14,Hi! I'm looking for a Chinese recipe that's both family-friendly and diabetic-friendly. I prefer using steaming as the cooking method and would love some guidance on something that's healthy and uses ingredients I can find easily here. Any suggestions?,Steaming,Family-friendly,Chinese,Diabetic-Friendly,Health Enthusiast,Locally Available,Health & Wellness Goals,Comfortable Home Cook
5,"Hey there! I'm planning a party and want to bake something comforting and a bit experimental for a large group. Since I'm a beginner, could you recommend a nut-free, American fusion dessert that's both indulgent and reasonably easy to follow? I'm not in a rush, so a leisurely project would be great!",Baking,Large Groups/Parties,American Fusion & Experimental,Nut-Free,Comfort-Food Lover,Leisurely Cooking,Occasion-Based Cooking,Absolute Beginner
9,I'm planning a special date-night dinner and would love to make something Thai that's both gourmet and paleo-friendly. Any intricate recipes you'd recommend for a couple looking to indulge?,Gourmet & Intricate,Couple/Date Night,Thai,Paleo,Health Enthusiast,Fully Equipped Kitchen,Splurge-Worthy,Culinary Expert
12,Hey there! I'm planning a big dinner party with a focus on traditional roasting techniques and would love some inspiration using seasonal ingredients. Could you recommend a kosher recipe that will impress my guests?,Roasting,Large Groups/Parties,Traditional/Authentic,Kosher,Amateur Foodie,Seasonal Ingredients,Occasion-Based Cooking,Culinary Expert
11,"Hey there! I'm looking for a quick and tasty air fryer recipe that satisfies my comfort food cravings. I love experimenting with Southern fusion, but I need to keep it low-sugar. Any ideas? Just for me, so not too big!",Air Fryer,Individual,Southern Fusion & Experimental,Low-Sugar,Comfort-Food Lover,Quick Meals,Taste-Driven,Comfortable Home Cook
10,"Hey there! I'm a busy parent looking for a quick, no-cook, vegetarian Korean recipe that I can make for my family using pantry staples. I've got a tight budget, so something simple would be great. Any ideas?",Minimal/No-Cook,Family-friendly,Korean,Vegetarian,Busy Parent,Pantry Staples,Budget-Conscious,Absolute Beginner
13,Hey! I'm really new to cooking and I love trying new things. Could you help me find a quick and easy Mexican recipe that's seafood-free? Something I can make just for myself with limited kitchen gear. Interactive steps would be awesome! Thanks!,Quick & Easy,Individual,Mexican,Seafood-Free,Adventure Seeker,Limited Gear,Interactive Guidance,Absolute Beginner
15,"I'm planning a splurge-worthy Italian dinner for a date night, focusing on sous-vide cooking. Can you suggest a nut-free recipe that's impressive but budget-friendly?",Sous-vide,Couple/Date Night,Italian,Nut-Free,Budget-Conscious Cook,Fully Equipped Kitchen,Splurge-Worthy,Culinary Expert
16,"Hey, I'm planning a Mediterranean-themed barbecue for a large group and I'd love some vegan grilling recipes that use seasonal ingredients. Since eco-friendly cooking's important to me, any advice on that would also be great!",Grilling,Large Groups/Parties,Mediterranean,Vegan,Busy Parent,Seasonal Ingredients,Eco & Ethical Considerations,Comfortable Home Cook
17,"Hi there! I'm a college student just starting to cook for myself. I'm interested in making an easy, budget-friendly Japanese dish that doesn't use eggs. Do you have any simple recipes that use basic pantry staples? Thanks!",Everyday Cooking,Individual,Japanese,Egg-Free,College Student,Pantry Staples,Budget-Conscious,Absolute Beginner
18,Hi there! I'm looking for high-protein Indian recipes that I can make using my air fryer for meal prep. I'd love something quick and easy that aligns with my health and wellness goals. Any suggestions?,Air Fryer,Meal Prep & Batch Cooking,Indian,High-Protein,Health Enthusiast,Quick Meals,Health & Wellness Goals,Comfortable Home Cook
21,"I'm hosting a party soon and want to roast something delicious and traditional that won't break the bank. It needs to be dairy-free for my guests, and I'd like to use ingredients I can easily find locally. Any suggestions?",Roasting,Large Groups/Parties,Traditional/Authentic,Dairy-Free,Budget-Conscious Cook,Locally Available,Occasion-Based Cooking,Comfortable Home Cook
19,"Hi there! I'm planning a special date night and want to bake something impressive and French-inspired. Since we're both gluten-free, could you suggest a splurge-worthy dessert recipe that will really wow my partner? I've got a fully equipped kitchen and I'm up for a challenge!",Baking,Couple/Date Night,French,Gluten-Free,Amateur Foodie,Fully Equipped Kitchen,Splurge-Worthy,Culinary Expert
20,"Hi there! I'm looking for a family-friendly keto recipe that's American but with a bit of a twist. I'd love to use my Instant Pot, and since I'm just starting out with cooking, I really need detailed instructions. Can you suggest something comforting yet exciting?",Instant Pot,Family-friendly,American Fusion & Experimental,Keto,Comfort-Food Lover,Limited Gear,Detailed Guidance,Absolute Beginner
22,"Hey there! I’m on the hunt for a taste-packed Paleo-friendly Mediterranean dish that doesn't require much cooking. I'm pretty new to all of this, so something simple using pantry staples would be great. Any ideas for something fun to try out?",Minimal/No-Cook,Individual,Mediterranean,Paleo,Adventure Seeker,Pantry Staples,Taste-Driven,Absolute Beginner
23,Hey there! I'm looking for a tasty Mexican-inspired dish to grill for a date night. I want something low-sodium with seasonal ingredients that's also eco-friendly. Do you have any suggestions for a couple of health enthusiasts?,Grilling,Couple/Date Night,Mexican,Low-Sodium,Health Enthusiast,Seasonal Ingredients,Eco & Ethical Considerations,Culinary Expert
24,Hey there! I'm a busy parent looking for a quick and easy Middle Eastern halal recipe that's family-friendly. Could you suggest something with a quick summary? Thanks!,Quick & Easy,Family-friendly,Middle Eastern,Halal,Busy Parent,Quick Meals,Quick Summaries,Comfortable Home Cook
29,"Hey there! I'm looking to create a family-friendly, seafood-free dish using seasonal ingredients. I enjoy experimenting with fusion flavors and love roasting, so could you suggest something adventurous and suitable for a special occasion?",Roasting,Family-friendly,Fusion & Experimental,Seafood-Free,Adventure Seeker,Seasonal Ingredients,Occasion-Based Cooking,Culinary Expert
